Data;Dia;Mês;Ano;Taxa de câmbio - R$ / US$ - comercial - compra - média;;;;;;;;;;;;;;;
26/11/2024;26;Nov;2024;R$ 5,7984;;;;;;;;;;;;;;;
25/11/2024;25;Nov;2024;R$ 5,7996;;;;;;;;;;;;;;;
22/11/2024;22;Nov;2024;R$ 5,8118;;;;;;;;;;;;;;;
21/11/2024;21;Nov;2024;R$ 5,8167;;;;;;;;;;;;;;;
19/11/2024;19;Nov;2024;R$ 5,7737;;;;;;;;;;;;;;;
18/11/2024;18;Nov;2024;R$ 5,7597;;;;;;;;;;;;;;;
14/11/2024;14;Nov;2024;R$ 5,7879;;;;;;;;;;;;;;;
13/11/2024;13;Nov;2024;R$ 5,7707;;;;;;;;;;;;;;;
12/11/2024;12;Nov;2024;R$ 5,7688;;;;;;;;;;;;;;;
11/11/2024;11;Nov;2024;R$ 5,7974;;;;;;;;;;;;;;;
08/11/2024;08;Nov;2024;R$ 5,7642;;;;;;;;;;;;;;;
07/11/2024;07;Nov;2024;R$ 5,6618;;;;;;;;;;;;;;;
06/11/2024;06;Nov;2024;R$ 5,7642;;;;;;;;;;;;;;;
05/11/2024;05;Nov;2024;R$ 5,7840;;;;;;;;;;;;;;;
04/11/2024;04;Nov;2024;R$ 5,7892;;;;;;;;;;;;;;;
01/11/2024;01;Nov;2024;R$ 5,8067;;;;;;;;;;;;;;;
31/10/2024;31;Out;2024;R$ 5,7773;;;;;;;;;;;;;;;
30/10/2024;30;Out;2024;R$ 5,7795;;;;;;;;;;;;;;;
29/10/2024;29;Out;2024;R$ 5,7134;;;;;;;;;;;;;;;
28/10/2024;28;Out;2024;R$ 5,6982;;;;;;;;;;;;;;;
25/10/2024;25;Out;2024;R$ 5,6963;;;;;;;;;;;;;;;
24/10/2024;24;Out;2024;R$ 5,7081;;;;;;;;;;;;;;;
23/10/2024;23;Out;2024;R$ 5,7143;;;;;;;;;;;;;;;
22/10/2024;22;Out;2024;R$ 5,6952;;;;;;;;;;;;;;;
21/10/2024;21;Out;2024;R$ 5,7062;;;;;;;;;;;;;;;
18/10/2024;18;Out;2024;R$ 5,6666;;;;;;;;;;;;;;;
17/10/2024;17;Out;2024;R$ 5,6752;;;;;;;;;;;;;;;
16/10/2024;16;Out;2024;R$ 5,6743;;;;;;;;;;;;;;;
15/10/2024;15;Out;2024;R$ 5,6372;;;;;;;;;;;;;;;
14/10/2024;14;Out;2024;R$ 5,6039;;;;;;;;;;;;;;;
11/10/2024;11;Out;2024;R$ 5,6257;;;;;;;;;;;;;;;
10/10/2024;10;Out;2024;R$ 5,5813;;;;;;;;;;;;;;;
09/10/2024;09;Out;2024;R$ 5,5731;;;;;;;;;;;;;;;
08/10/2024;08;Out;2024;R$ 5,5191;;;;;;;;;;;;;;;
07/10/2024;07;Out;2024;R$ 5,4620;;;;;;;;;;;;;;;
04/10/2024;04;Out;2024;R$ 5,4680;;;;;;;;;;;;;;;
03/10/2024;03;Out;2024;R$ 5,4844;;;;;;;;;;;;;;;
02/10/2024;02;Out;2024;R$ 5,4299;;;;;;;;;;;;;;;
01/10/2024;01;Out;2024;R$ 5,4515;;;;;;;;;;;;;;;
30/09/2024;30;Set;2024;R$ 5,4475;;;;;;;;;;;;;;;
27/09/2024;27;Set;2024;R$ 5,4425;;;;;;;;;;;;;;;
26/09/2024;26;Set;2024;R$ 5,4406;;;;;;;;;;;;;;;
25/09/2024;25;Set;2024;R$ 5,4730;;;;;;;;;;;;;;;
24/09/2024;24;Set;2024;R$ 5,4696;;;;;;;;;;;;;;;
23/09/2024;23;Set;2024;R$ 5,5440;;;;;;;;;;;;;;;
20/09/2024;20;Set;2024;R$ 5,4769;;;;;;;;;;;;;;;
19/09/2024;19;Set;2024;R$ 5,4183;;;;;;;;;;;;;;;
18/09/2024;18;Set;2024;R$ 5,4761;;;;;;;;;;;;;;;
17/09/2024;17;Set;2024;R$ 5,5004;;;;;;;;;;;;;;;
16/09/2024;16;Set;2024;R$ 5,5201;;;;;;;;;;;;;;;
13/09/2024;13;Set;2024;R$ 5,5711;;;;;;;;;;;;;;;
12/09/2024;12;Set;2024;R$ 5,6548;;;;;;;;;;;;;;;
11/09/2024;11;Set;2024;R$ 5,6381;;;;;;;;;;;;;;;
10/09/2024;10;Set;2024;R$ 5,6248;;;;;;;;;;;;;;;
09/09/2024;09;Set;2024;R$ 5,6091;;;;;;;;;;;;;;;
06/09/2024;06;Set;2024;R$ 5,5696;;;;;;;;;;;;;;;
05/09/2024;05;Set;2024;R$ 5,6043;;;;;;;;;;;;;;;
04/09/2024;04;Set;2024;R$ 5,6353;;;;;;;;;;;;;;;
03/09/2024;03;Set;2024;R$ 5,6218;;;;;;;;;;;;;;;
02/09/2024;02;Set;2024;R$ 5,6224;;;;;;;;;;;;;;;
30/08/2024;30;Ago;2024;R$ 5,6556;;;;;;;;;;;;;;;
29/08/2024;29;Ago;2024;R$ 5,6352;;;;;;;;;;;;;;;
28/08/2024;28;Ago;2024;R$ 5,5309;;;;;;;;;;;;;;;
27/08/2024;27;Ago;2024;R$ 5,4963;;;;;;;;;;;;;;;
