Rótulos de Linha;Média de Taxa de câmbio - R$ / US$ - comercial - compra - média
1985;R$ 0,0000
1986;R$ 0,0000
1987;R$ 0,0000
1988;R$ 0,0000
1989;R$ 0,0000
1990;R$ 0,0000
1991;R$ 0,0001
1992;R$ 0,0017
1993;R$ 0,0328
1994;R$ 0,6435
1995;R$ 0,9160
1996;R$ 1,0043
1997;R$ 1,0779
1998;R$ 1,1603
1999;R$ 1,8150
2000;R$ 1,8287
2001;R$ 2,3514
2002;R$ 2,9301
2003;R$ 3,0707
2004;R$ 2,9249
2005;R$ 2,4333
2006;R$ 2,1764
2007;R$ 1,9476
2008;R$ 1,8325
2009;R$ 1,9952
2010;R$ 1,7588
2011;R$ 1,6731
2012;R$ 1,9544
2013;R$ 2,1599
2014;R$ 2,3541
2015;R$ 3,3381
2016;R$ 3,4844
2017;R$ 3,1919
2018;R$ 3,6552
2019;R$ 3,9455
2020;R$ 5,1572
2021;R$ 5,3998
2022;R$ 5,1622
2023;R$ 4,9947
2024;R$ 5,3194
;
;
